Result,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Rev.,Ctrl,Head (SS),Body (SS),Leg (SS),Distance (SS),Clinch (SS),Ground (SS)
W,Manon Fiorot,0,172 of 359,47%,181 of 369,1 of 4,25%,0,0,0:53,143 of 321,18 of 25,11 of 13,167 of 346,5 of 13,0 of 0
L,Vicente Luque,0,21 of 63,33%,22 of 65,0 of 3,0%,0,0,0:09,7 of 45,4 of 5,10 of 13,21 of 63,0 of 0,0 of 0
W,Joaquin Buckley,0,55 of 131,41%,63 of 142,0 of 0,---,0,0,0:49,42 of 112,6 of 10,7 of 9,21 of 75,0 of 0,34 of 56
W,Chris Weidman,1,75 of 111,67%,88 of 129,1 of 4,25%,0,0,3:15,44 of 74,14 of 19,17 of 18,56 of 88,5 of 7,14 of 16
L,Bruno Silva,0,30 of 88,34%,30 of 88,0 of 0,---,0,0,0:00,28 of 81,2 of 4,0 of 3,29 of 86,1 of 1,0 of 1
W,Nursulton Ruziboev,1,12 of 32,37%,12 of 32,0 of 0,---,0,0,0:04,11 of 30,1 of 2,0 of 0,11 of 25,0 of 0,1 of 7
L,Sedriques Dumas,0,1 of 16,6%,1 of 16,0 of 0,---,0,0,0:00,1 of 13,0 of 2,0 of 1,1 of 16,0 of 0,0 of 0
L,Bill Algeo,0,30 of 58,51%,44 of 73,0 of 0,---,0,0,0:00,11 of 34,11 of 11,8 of 13,30 of 55,0 of 3,0 of 0
W,Kyle Nelson,0,32 of 59,54%,40 of 68,0 of 0,---,0,0,0:48,20 of 45,6 of 8,6 of 6,28 of 52,4 of 6,0 of 1
W,Chidi Njokuani,0,64 of 98,65%,96 of 139,0 of 2,0%,0,0,0:53,17 of 40,18 of 25,29 of 33,46 of 75,18 of 23,0 of 0
L,Rhys McKee,0,30 of 93,32%,40 of 105,0 of 7,0%,0,0,6:41,21 of 80,5 of 8,4 of 5,28 of 90,2 of 3,0 of 0
W,Nate Landwehr,1,37 of 76,48%,37 of 76,0 of 0,---,0,0,0:05,34 of 70,3 of 5,0 of 1,24 of 62,9 of 10,4 of 4
L,Jamall Emmers,0,39 of 78,50%,39 of 78,0 of 0,---,0,0,0:01,24 of 59,13 of 17,2 of 2,36 of 74,3 of 4,0 of 0
W,Virna Jandiroba,0,30 of 108,27%,86 of 180,2 of 9,22%,3,1,6:35,27 of 100,3 of 8,0 of 0,30 of 106,0 of 2,0 of 0
L,Loopy Godinez,0,38 of 95,40%,50 of 116,0 of 0,---,0,1,1:52,25 of 79,11 of 14,2 of 2,30 of 82,7 of 11,1 of 2
W,Julio Arce,2,29 of 79,36%,29 of 79,0 of 1,0%,0,0,0:08,19 of 65,9 of 12,1 of 2,20 of 68,9 of 11,0 of 0
L,Herbert Burns,0,15 of 57,26%,20 of 63,0 of 6,0%,0,0,1:16,9 of 45,5 of 10,1 of 2,13 of 55,2 of 2,0 of 0
W,Dennis Buzukja,1,83 of 201,41%,84 of 202,0 of 0,---,0,0,0:07,44 of 145,18 of 34,21 of 22,77 of 186,2 of 3,4 of 12
L,Connor Matthews,0,60 of 138,43%,62 of 140,1 of 3,33%,0,0,0:40,37 of 101,14 of 27,9 of 10,57 of 134,1 of 1,2 of 3
W,Ibo Aslan,1,74 of 180,41%,76 of 183,0 of 0,---,0,0,0:02,57 of 153,4 of 8,13 of 19,65 of 163,8 of 15,1 of 2
L,Anton Turkalj,0,55 of 157,35%,58 of 162,0 of 8,0%,0,0,0:18,36 of 126,11 of 18,8 of 13,49 of 146,6 of 11,0 of 0
L,Andre Petroski,0,13 of 42,30%,13 of 43,1 of 2,50%,0,0,0:13,6 of 34,2 of 2,5 of 6,12 of 41,1 of 1,0 of 0
W,Jacob Malkoun,0,20 of 40,50%,21 of 41,0 of 3,0%,0,0,0:32,16 of 36,4 of 4,0 of 0,17 of 35,0 of 1,3 of 4
L,Angel Pacheco,0,88 of 234,37%,95 of 241,0 of 0,---,0,0,0:09,44 of 180,32 of 38,12 of 16,80 of 226,8 of 8,0 of 0
W,Caolan Loughran,0,140 of 268,52%,148 of 286,3 of 4,75%,0,0,4:42,112 of 226,18 of 30,10 of 12,97 of 208,9 of 10,34 of 50
L,Amanda Ribas,0,83 of 270,30%,137 of 342,4 of 8,50%,0,0,1:38,39 of 195,19 of 42,25 of 33,76 of 259,4 of 6,3 of 5
W,Rose Namajunas,0,93 of 188,49%,169 of 281,1 of 3,33%,0,1,6:59,45 of 124,44 of 60,4 of 4,81 of 176,12 of 12,0 of 0
W,Karl Williams,0,40 of 61,65%,123 of 176,7 of 12,58%,1,0,10:31,26 of 47,7 of 7,7 of 7,19 of 29,3 of 4,18 of 28
L,Justin Tafa,0,21 of 43,48%,27 of 50,0 of 0,---,0,0,0:00,15 of 36,6 of 7,0 of 0,18 of 39,2 of 3,1 of 1
W,Edmen Shahbazyan,1,27 of 43,62%,31 of 51,1 of 3,33%,0,0,0:49,19 of 34,2 of 3,6 of 6,16 of 24,1 of 3,10 of 16
L,AJ Dobson,0,15 of 46,32%,20 of 54,0 of 0,---,0,1,1:15,7 of 36,2 of 2,6 of 8,12 of 43,3 of 3,0 of 0
W,Payton Talbott,1,79 of 129,61%,83 of 135,0 of 1,0%,0,0,0:30,52 of 96,21 of 27,6 of 6,54 of 98,6 of 8,19 of 23
L,Cameron Saaiman,0,31 of 64,48%,33 of 66,0 of 3,0%,0,0,0:00,13 of 40,11 of 17,7 of 7,30 of 63,1 of 1,0 of 0
L,Billy Quarantillo,0,10 of 50,20%,26 of 74,0 of 0,---,0,0,0:21,8 of 36,0 of 8,2 of 6,10 of 50,0 of 0,0 of 0
W,Youssef Zalal,0,33 of 56,58%,37 of 62,2 of 2,100%,2,0,2:55,18 of 36,5 of 9,10 of 11,28 of 49,0 of 1,5 of 6
W,Fernando Padilla,1,34 of 61,55%,35 of 64,0 of 0,---,1,0,0:47,24 of 49,6 of 8,4 of 4,17 of 32,0 of 0,17 of 29
L,Luis Pajuelo,0,5 of 13,38%,7 of 15,0 of 0,---,0,0,0:00,1 of 9,2 of 2,2 of 2,5 of 13,0 of 0,0 of 0
L,Kurt Holobaugh,0,29 of 68,42%,129 of 188,0 of 0,---,0,0,0:10,9 of 43,9 of 12,11 of 13,24 of 63,3 of 3,2 of 2
W,Trey Ogden,0,35 of 66,53%,225 of 320,3 of 4,75%,0,0,11:09,22 of 52,4 of 4,9 of 10,28 of 59,2 of 2,5 of 5
L,Ricardo Ramos,0,7 of 17,41%,12 of 23,2 of 3,66%,0,0,1:27,5 of 14,1 of 2,1 of 1,6 of 15,0 of 0,1 of 2
W,Julian Erosa,0,4 of 11,36%,11 of 21,0 of 0,---,1,0,0:00,2 of 8,2 of 3,0 of 0,4 of 11,0 of 0,0 of 0
W,Miles Johns,0,25 of 79,31%,64 of 137,2 of 8,25%,0,1,6:29,18 of 66,5 of 9,2 of 4,20 of 72,4 of 6,1 of 1
L,Cody Gibson,0,18 of 62,29%,52 of 108,1 of 7,14%,0,0,1:55,9 of 39,4 of 17,5 of 6,16 of 60,2 of 2,0 of 0
W,Jarno Errens,1,105 of 207,50%,106 of 208,0 of 1,0%,0,0,0:15,51 of 139,29 of 38,25 of 30,103 of 203,2 of 4,0 of 0
L,Steven Nguyen,0,63 of 226,27%,63 of 227,1 of 1,100%,0,0,0:23,47 of 187,8 of 16,8 of 23,59 of 219,1 of 1,3 of 6
L,Montse Rendon,0,25 of 147,17%,28 of 156,3 of 6,50%,0,0,5:24,19 of 134,4 of 11,2 of 2,25 of 137,0 of 8,0 of 2
W,Daria Zhelezniakova,0,57 of 150,38%,73 of 171,0 of 0,---,0,0,0:01,36 of 125,21 of 25,0 of 0,51 of 144,6 of 6,0 of 0
L,Igor Severino,0,36 of 78,46%,40 of 85,5 of 9,55%,0,0,3:00,17 of 55,9 of 13,10 of 10,31 of 71,4 of 5,1 of 2
W,Andre Lima,0,30 of 58,51%,38 of 66,1 of 2,50%,2,0,0:24,16 of 40,8 of 12,6 of 6,29 of 56,1 of 2,0 of 0
L,Mohammed Usman,0,57 of 167,34%,57 of 168,0 of 0,---,0,0,0:00,26 of 114,30 of 52,1 of 1,57 of 167,0 of 0,0 of 0
W,Mick Parkin,0,72 of 150,48%,72 of 150,0 of 0,---,0,0,0:00,37 of 109,4 of 4,31 of 37,71 of 149,1 of 1,0 of 0
L,Tai Tuivasa,0,15 of 24,62%,18 of 27,0 of 0,---,0,0,0:00,9 of 17,1 of 2,5 of 5,8 of 17,7 of 7,0 of 0
W,Marcin Tybura,0,27 of 41,65%,73 of 96,1 of 4,25%,1,0,2:48,23 of 34,4 of 7,0 of 0,8 of 20,0 of 0,19 of 21
NC,Bryan Battle,0,27 of 75,36%,28 of 78,1 of 2,50%,0,0,1:33,16 of 56,10 of 18,1 of 1,24 of 69,3 of 5,0 of 1
NC,Ange Loosa,0,23 of 54,42%,26 of 58,0 of 1,0%,0,0,0:00,6 of 34,8 of 9,9 of 11,22 of 53,1 of 1,0 of 0
W,Ovince Saint Preux,1,143 of 276,51%,143 of 276,0 of 2,0%,0,0,0:06,98 of 223,32 of 39,13 of 14,131 of 262,11 of 13,1 of 1
L,Kennedy Nzechukwu,0,106 of 250,42%,106 of 250,0 of 1,0%,0,0,0:08,85 of 213,19 of 35,2 of 2,93 of 235,13 of 15,0 of 0
W,Christian Rodriguez,0,48 of 76,63%,97 of 135,0 of 0,---,0,0,3:19,43 of 71,4 of 4,1 of 1,21 of 40,10 of 10,17 of 26
L,Isaac Dulgarian,0,22 of 44,50%,56 of 89,7 of 16,43%,2,0,9:22,17 of 39,2 of 2,3 of 3,14 of 34,1 of 1,7 of 9
L,Pannie Kianzad,0,2 of 6,33%,29 of 35,1 of 2,50%,0,0,0:52,1 of 5,0 of 0,1 of 1,2 of 4,0 of 1,0 of 1
W,Macy Chiasson,0,4 of 10,40%,5 of 11,2 of 2,100%,1,1,2:28,3 of 8,1 of 2,0 of 0,3 of 9,1 of 1,0 of 0
W,Gerald Meerschaert,0,11 of 17,64%,30 of 36,3 of 7,42%,2,0,5:03,7 of 12,2 of 3,2 of 2,11 of 17,0 of 0,0 of 0
L,Bryan Barberena,0,12 of 37,32%,25 of 50,0 of 0,---,0,0,0:03,9 of 29,0 of 0,3 of 8,10 of 34,0 of 0,2 of 3
L,Natan Levy,0,8 of 9,88%,18 of 20,1 of 1,100%,0,0,0:34,2 of 3,5 of 5,1 of 1,5 of 6,0 of 0,3 of 3
W,Mike Davis,1,3 of 7,42%,10 of 15,0 of 0,---,1,0,5:11,3 of 6,0 of 1,0 of 0,1 of 2,0 of 0,2 of 5
L,Josiane Nunes,0,47 of 105,44%,49 of 108,0 of 0,---,0,0,0:26,37 of 85,9 of 19,1 of 1,43 of 101,4 of 4,0 of 0
W,Chelsea Chandler,0,58 of 130,44%,100 of 176,2 of 2,100%,0,0,7:02,43 of 107,13 of 21,2 of 2,43 of 106,2 of 3,13 of 21
W,Jafel Filho,0,21 of 35,60%,43 of 66,1 of 1,100%,2,0,3:21,18 of 31,2 of 2,1 of 2,3 of 7,0 of 0,18 of 28
L,Ode Osbourne,0,0 of 5,0%,1 of 6,0 of 0,---,0,0,0:04,0 of 4,0 of 1,0 of 0,0 of 5,0 of 0,0 of 0
L,Josh Culibao,0,87 of 202,43%,89 of 205,0 of 4,0%,0,0,0:03,59 of 168,20 of 26,8 of 8,86 of 199,1 of 3,0 of 0
W,Danny Silva,0,45 of 107,42%,56 of 119,4 of 9,44%,1,0,5:28,28 of 82,11 of 18,6 of 7,44 of 106,1 of 1,0 of 0
W,Jaqueline Amorim,0,3 of 5,60%,3 of 5,0 of 0,---,4,0,0:00,1 of 3,2 of 2,0 of 0,2 of 4,0 of 0,1 of 1
L,Cory McKenna,0,4 of 11,36%,8 of 17,1 of 1,100%,0,0,0:56,1 of 7,0 of 0,3 of 4,3 of 10,1 of 1,0 of 0
W,Thiago Moises,1,25 of 39,64%,53 of 72,2 of 2,100%,1,0,6:36,10 of 23,3 of 4,12 of 12,17 of 30,2 of 2,6 of 7
L,Mitch Ramirez,0,16 of 48,33%,28 of 65,0 of 0,---,0,0,0:21,4 of 32,5 of 7,7 of 9,13 of 45,3 of 3,0 of 0
L,Charalampos Grigoriou,0,21 of 65,32%,26 of 70,4 of 5,80%,0,0,5:24,16 of 53,2 of 7,3 of 5,21 of 64,0 of 0,0 of 1
W,Chad Anheliger,0,85 of 155,54%,144 of 220,0 of 2,0%,0,0,1:34,57 of 122,10 of 13,18 of 20,68 of 137,12 of 12,5 of 6
W,Sean O'Malley,0,230 of 356,64%,232 of 358,0 of 0,---,0,0,0:03,150 of 268,61 of 68,19 of 20,227 of 352,3 of 4,0 of 0
L,Marlon Vera,0,89 of 241,36%,89 of 241,0 of 0,---,0,0,0:00,41 of 165,14 of 35,34 of 41,85 of 235,4 of 6,0 of 0
W,Dustin Poirier,1,28 of 34,82%,30 of 37,0 of 1,0%,4,0,0:31,24 of 30,3 of 3,1 of 1,23 of 25,4 of 8,1 of 1
L,Benoit Saint Denis,0,50 of 74,67%,69 of 97,3 of 7,42%,1,0,4:53,25 of 46,18 of 20,7 of 8,17 of 37,31 of 35,2 of 2
L,Kevin Holland,0,29 of 61,47%,64 of 99,2 of 5,40%,1,0,4:22,11 of 37,4 of 6,14 of 18,18 of 47,4 of 5,7 of 9
W,Michael Page,0,41 of 62,66%,59 of 81,0 of 3,0%,0,0,1:26,28 of 47,8 of 10,5 of 5,38 of 58,2 of 3,1 of 1
L,Gilbert Burns,0,27 of 58,46%,31 of 63,7 of 11,63%,0,0,5:07,16 of 43,8 of 11,3 of 4,23 of 52,3 of 5,1 of 1
W,Jack Della Maddalena,1,67 of 123,54%,85 of 146,0 of 1,0%,0,0,0:16,54 of 104,9 of 15,4 of 4,47 of 100,4 of 6,16 of 17
W,Petr Yan,0,99 of 183,54%,129 of 217,2 of 5,40%,0,0,1:47,68 of 142,22 of 31,9 of 10,86 of 170,4 of 4,9 of 9
L,Song Yadong,0,86 of 172,50%,104 of 192,1 of 8,12%,0,0,1:40,71 of 147,9 of 15,6 of 10,79 of 164,5 of 6,2 of 2
W,Curtis Blaydes,0,16 of 25,64%,19 of 28,0 of 0,---,0,0,0:09,16 of 25,0 of 0,0 of 0,0 of 5,0 of 0,16 of 20
L,Jailton Almeida,0,1 of 3,33%,9 of 11,9 of 13,69%,0,0,4:39,1 of 3,0 of 0,0 of 0,1 of 3,0 of 0,0 of 0
L,Katlyn Cerminara,0,66 of 152,43%,99 of 186,1 of 6,16%,0,0,2:52,44 of 122,21 of 27,1 of 3,43 of 124,23 of 28,0 of 0
W,Maycee Barber,0,84 of 150,56%,122 of 189,4 of 4,100%,0,0,4:45,59 of 121,18 of 22,7 of 7,44 of 107,36 of 39,4 of 4
W,Mateusz Gamrot,0,57 of 102,55%,111 of 163,11 of 19,57%,0,0,7:01,48 of 90,9 of 12,0 of 0,46 of 88,6 of 8,5 of 6
L,Rafael Dos Anjos,1,36 of 78,46%,39 of 82,0 of 0,---,0,0,0:11,24 of 61,5 of 9,7 of 8,26 of 67,7 of 8,3 of 3
L,Pedro Munhoz,0,52 of 140,37%,52 of 140,1 of 8,12%,0,0,0:24,23 of 99,17 of 24,12 of 17,48 of 134,3 of 5,1 of 1
W,Kyler Phillips,0,114 of 275,41%,115 of 276,0 of 0,---,0,0,0:02,74 of 224,17 of 24,23 of 27,111 of 269,2 of 5,1 of 1
L,Ion Cutelaba,0,47 of 97,48%,119 of 171,0 of 1,0%,0,0,0:16,33 of 82,9 of 9,5 of 6,42 of 90,5 of 7,0 of 0
W,Philipe Lins,0,67 of 115,58%,73 of 121,2 of 7,28%,0,0,5:34,37 of 82,7 of 9,23 of 24,57 of 100,5 of 8,5 of 7
W,Michel Pereira,0,11 of 15,73%,11 of 15,0 of 0,---,1,0,0:18,5 of 9,6 of 6,0 of 0,9 of 13,2 of 2,0 of 0
L,Michal Oleksiejczuk,0,1 of 4,25%,1 of 4,0 of 0,---,0,0,0:00,0 of 3,1 of 1,0 of 0,1 of 4,0 of 0,0 of 0
W,Robelis Despaigne,1,7 of 9,77%,7 of 9,0 of 0,---,0,0,0:02,7 of 9,0 of 0,0 of 0,5 of 7,0 of 0,2 of 2
L,Josh Parisian,0,2 of 5,40%,2 of 5,0 of 0,---,0,0,0:00,1 of 4,1 of 1,0 of 0,2 of 5,0 of 0,0 of 0
L,CJ Vergara,0,29 of 53,54%,66 of 92,0 of 0,---,0,0,0:14,13 of 32,14 of 17,2 of 4,22 of 46,4 of 4,3 of 3
W,Asu Almabayev,0,44 of 77,57%,85 of 132,9 of 14,64%,0,0,9:32,22 of 53,9 of 11,13 of 13,23 of 51,8 of 10,13 of 16
W,Joanne Wood,0,136 of 249,54%,173 of 290,1 of 1,100%,0,0,0:12,74 of 175,39 of 45,23 of 29,112 of 216,23 of 31,1 of 2
L,Maryna Moroz,0,102 of 195,52%,156 of 255,1 of 2,50%,0,0,6:11,79 of 160,23 of 33,0 of 2,79 of 169,19 of 22,4 of 4
W,Jairzinho Rozenstruik,0,127 of 215,59%,140 of 230,0 of 1,0%,0,0,0:01,78 of 158,30 of 37,19 of 20,123 of 209,4 of 6,0 of 0
L,Shamil Gaziev,0,22 of 68,32%,27 of 75,1 of 7,14%,0,0,4:32,16 of 59,5 of 8,1 of 1,17 of 60,4 of 6,1 of 2
W,Vitor Petrino,0,27 of 75,36%,33 of 82,3 of 5,60%,0,0,5:24,16 of 59,4 of 8,7 of 8,25 of 72,0 of 0,2 of 3
L,Tyson Pedro,0,30 of 60,50%,33 of 64,0 of 2,0%,0,0,0:10,3 of 29,11 of 15,16 of 16,29 of 59,1 of 1,0 of 0
L,Alex Perez,0,30 of 87,34%,47 of 114,0 of 0,---,0,0,3:44,22 of 73,3 of 5,5 of 9,19 of 74,2 of 3,9 of 10
W,Muhammad Mokaev,0,47 of 104,45%,56 of 119,3 of 20,15%,0,0,4:29,34 of 85,9 of 12,4 of 7,31 of 81,3 of 3,13 of 20
W,Umar Nurmagomedov,0,68 of 98,69%,145 of 197,5 of 5,100%,0,0,11:26,64 of 94,0 of 0,4 of 4,7 of 13,0 of 0,61 of 85
L,Bekzat Almakhan,1,3 of 16,18%,5 of 25,0 of 0,---,0,0,0:34,1 of 13,2 of 3,0 of 0,3 of 16,0 of 0,0 of 0
L,Matt Schnell,0,22 of 78,28%,25 of 84,0 of 0,---,0,0,0:00,18 of 70,1 of 5,3 of 3,21 of 74,1 of 4,0 of 0
W,Steve Erceg,1,34 of 72,47%,34 of 72,0 of 1,0%,0,0,0:05,24 of 60,9 of 11,1 of 1,30 of 67,4 of 5,0 of 0
W,Eryk Anders,0,23 of 59,38%,83 of 147,5 of 13,38%,0,0,10:08,14 of 48,7 of 9,2 of 2,12 of 38,7 of 9,4 of 12
L,Jamie Pickett,1,20 of 55,36%,26 of 64,0 of 0,---,0,0,0:16,11 of 45,8 of 9,1 of 1,12 of 46,8 of 8,0 of 1
W,Vinicius Oliveira,1,67 of 144,46%,88 of 170,2 of 4,50%,0,0,1:37,39 of 91,11 of 20,17 of 33,49 of 112,3 of 13,15 of 19
L,Benardo Sopaj,0,45 of 86,52%,92 of 146,3 of 4,75%,0,0,4:28,42 of 81,1 of 3,2 of 2,21 of 55,0 of 2,24 of 29
W,Aiemann Zahabi,0,75 of 174,43%,77 of 176,0 of 0,---,0,0,0:13,51 of 130,16 of 26,8 of 18,74 of 172,1 of 2,0 of 0
L,Javid Basharat,0,67 of 205,32%,67 of 205,0 of 4,0%,0,0,0:00,33 of 147,27 of 44,7 of 14,67 of 203,0 of 2,0 of 0
W,Christian Leroy Duncan,0,65 of 92,70%,75 of 105,1 of 2,50%,0,0,2:15,39 of 62,8 of 10,18 of 20,31 of 50,12 of 15,22 of 27
L,Claudio Ribeiro,0,4 of 26,15%,13 of 39,0 of 0,---,0,0,1:03,1 of 19,1 of 3,2 of 4,4 of 24,0 of 2,0 of 0
W,Ludovit Klein,1,60 of 91,65%,63 of 95,2 of 3,66%,0,0,0:27,38 of 66,21 of 23,1 of 2,54 of 84,2 of 2,4 of 5
L,AJ Cunningham,0,36 of 75,48%,36 of 77,0 of 0,---,0,0,0:26,15 of 49,10 of 14,11 of 12,34 of 72,2 of 3,0 of 0
L,Abdul-Kareem Al-Selwady,0,38 of 68,55%,50 of 84,3 of 7,42%,0,0,2:44,15 of 34,8 of 11,15 of 23,34 of 61,4 of 7,0 of 0
W,Loik Radzhabov,1,39 of 90,43%,57 of 115,4 of 5,80%,0,0,1:27,33 of 72,6 of 15,0 of 3,18 of 63,2 of 2,19 of 25
L,Brandon Moreno,0,112 of 211,53%,119 of 219,3 of 5,60%,0,0,2:54,48 of 127,37 of 51,27 of 33,103 of 191,7 of 17,2 of 3
W,Brandon Royval,0,145 of 510,28%,177 of 556,1 of 2,50%,0,0,0:35,97 of 437,38 of 54,10 of 19,142 of 504,3 of 6,0 of 0
L,Yair Rodriguez,1,55 of 115,47%,64 of 135,0 of 1,0%,0,0,1:32,36 of 91,11 of 15,8 of 9,34 of 86,9 of 12,12 of 17
W,Brian Ortega,0,28 of 73,38%,47 of 104,3 of 6,50%,1,0,5:21,26 of 69,2 of 4,0 of 0,13 of 50,2 of 3,13 of 20
W,Daniel Zellhuber,0,120 of 272,44%,120 of 272,0 of 0,---,0,0,0:05,87 of 228,25 of 36,8 of 8,117 of 268,3 of 4,0 of 0
L,Francisco Prado,0,90 of 246,36%,91 of 249,0 of 0,---,0,0,0:25,30 of 155,26 of 47,34 of 44,88 of 244,2 of 2,0 of 0
W,Yazmin Jauregui,0,94 of 269,34%,97 of 272,0 of 0,---,0,0,0:00,52 of 197,24 of 42,18 of 30,84 of 253,10 of 16,0 of 0
L,Sam Hughes,0,83 of 197,42%,88 of 206,0 of 6,0%,0,0,0:17,40 of 143,17 of 24,26 of 30,80 of 190,3 of 7,0 of 0
W,Manuel Torres,0,3 of 5,60%,5 of 7,2 of 2,100%,1,0,0:42,2 of 4,1 of 1,0 of 0,0 of 2,2 of 2,1 of 1
L,Chris Duncan,0,1 of 2,50%,1 of 2,1 of 3,33%,0,0,0:40,1 of 2,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0
L,Cristian Quinonez,0,29 of 82,35%,43 of 99,2 of 7,28%,0,0,3:13,17 of 67,3 of 6,9 of 9,26 of 75,3 of 7,0 of 0
W,Raoni Barcelos,0,43 of 74,58%,48 of 81,2 of 12,16%,2,0,1:02,26 of 54,5 of 7,12 of 13,38 of 68,4 of 5,1 of 1
W,Jesus Aguilar,0,19 of 36,52%,38 of 62,1 of 4,25%,1,1,4:51,10 of 24,4 of 4,5 of 8,11 of 21,4 of 5,4 of 10
L,Mateus Mendonca,0,18 of 40,45%,43 of 90,4 of 8,50%,1,0,8:44,15 of 35,3 of 4,0 of 1,7 of 21,2 of 2,9 of 17
W,Edgar Chairez,0,9 of 15,60%,9 of 15,0 of 0,---,1,0,0:00,3 of 7,2 of 4,4 of 4,8 of 14,0 of 0,1 of 1
L,Daniel Lacerda,0,4 of 17,23%,7 of 22,1 of 1,100%,0,0,0:41,2 of 9,2 of 7,0 of 1,2 of 12,0 of 0,2 of 5
L,Claudio Puelles,0,4 of 9,44%,17 of 27,7 of 13,53%,0,0,7:14,1 of 5,3 of 4,0 of 0,3 of 8,1 of 1,0 of 0
W,Fares Ziam,0,31 of 48,64%,58 of 82,0 of 0,---,1,2,4:30,23 of 38,6 of 7,2 of 3,5 of 15,2 of 3,24 of 30
W,Ronaldo Rodriguez,0,31 of 69,44%,50 of 93,0 of 0,---,1,3,2:56,19 of 55,7 of 9,5 of 5,13 of 43,5 of 7,13 of 19
L,Denys Bondar,0,41 of 63,65%,46 of 77,4 of 6,66%,0,1,2:52,22 of 39,8 of 13,11 of 11,32 of 51,3 of 4,6 of 8
L,Victor Altamirano,0,40 of 74,54%,52 of 97,9 of 11,81%,0,0,5:02,7 of 33,23 of 31,10 of 10,29 of 62,10 of 10,1 of 2
W,Felipe dos Santos,0,37 of 87,42%,62 of 120,0 of 0,---,1,0,0:51,24 of 66,8 of 16,5 of 5,31 of 73,5 of 11,1 of 3
L,Erik Silva,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:13,0 of 0,0 of 0,0 of 1,0 of 1,0 of 0,0 of 0
W,Muhammad Naimov,0,1 of 2,50%,3 of 4,1 of 1,100%,0,0,0:11,1 of 2,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0
L,Alexander Volkanovski,0,47 of 107,43%,47 of 107,0 of 0,---,0,0,0:00,21 of 68,11 of 22,15 of 17,44 of 102,3 of 5,0 of 0
W,Ilia Topuria,1,35 of 77,45%,36 of 78,0 of 0,---,0,0,0:03,17 of 53,12 of 16,6 of 8,28 of 70,4 of 4,3 of 3
W,Robert Whittaker,0,95 of 175,54%,95 of 175,0 of 1,0%,0,0,0:00,63 of 143,4 of 4,28 of 28,95 of 172,0 of 3,0 of 0
L,Paulo Costa,0,67 of 151,44%,67 of 151,0 of 0,---,0,0,0:00,39 of 117,8 of 12,20 of 22,67 of 151,0 of 0,0 of 0
L,Geoff Neal,0,46 of 89,51%,57 of 102,0 of 0,---,0,0,3:45,25 of 64,10 of 13,11 of 12,38 of 79,8 of 10,0 of 0
W,Ian Machado Garry,0,67 of 135,49%,80 of 148,0 of 0,---,0,0,0:12,39 of 96,18 of 27,10 of 12,65 of 133,2 of 2,0 of 0
W,Merab Dvalishvili,0,74 of 172,43%,167 of 273,5 of 11,45%,1,0,4:23,44 of 128,20 of 34,10 of 10,51 of 134,13 of 24,10 of 14
L,Henry Cejudo,0,29 of 78,37%,54 of 106,1 of 7,14%,0,0,2:05,13 of 54,5 of 11,11 of 13,24 of 68,5 of 10,0 of 0
W,Anthony Hernandez,0,34 of 77,44%,39 of 82,3 of 14,21%,2,0,4:05,28 of 68,4 of 6,2 of 3,24 of 65,8 of 10,2 of 2
L,Roman Kopylov,0,35 of 57,61%,41 of 63,0 of 0,---,0,0,0:00,21 of 43,8 of 8,6 of 6,34 of 56,1 of 1,0 of 0
W,Amanda Lemos,1,41 of 80,51%,47 of 86,2 of 2,100%,0,0,4:02,26 of 62,8 of 10,7 of 8,24 of 56,1 of 2,16 of 22
L,Mackenzie Dern,0,21 of 54,38%,50 of 85,1 of 3,33%,0,2,6:00,21 of 51,0 of 2,0 of 1,13 of 42,0 of 1,8 of 11
W,Marcos Rogerio de Lima,1,33 of 46,71%,63 of 78,1 of 3,33%,0,0,3:26,19 of 31,2 of 2,12 of 13,22 of 32,1 of 1,10 of 13
L,Junior Tafa,0,11 of 27,40%,17 of 33,0 of 0,---,0,0,0:00,9 of 24,1 of 2,1 of 1,10 of 26,0 of 0,1 of 1
W,Rinya Nakamura,0,38 of 70,54%,73 of 114,3 of 3,100%,0,0,13:03,30 of 61,6 of 7,2 of 2,7 of 9,1 of 1,30 of 60
L,Carlos Vera,0,12 of 25,48%,55 of 79,0 of 0,---,0,0,0:00,7 of 19,1 of 2,4 of 4,6 of 15,1 of 2,5 of 8
W,Zhang Mingyang,1,17 of 28,60%,17 of 28,0 of 0,---,0,0,0:02,13 of 19,2 of 5,2 of 4,14 of 25,0 of 0,3 of 3
L,Brendson Ribeiro,0,14 of 31,45%,14 of 31,0 of 0,---,0,0,0:00,14 of 31,0 of 0,0 of 0,14 of 31,0 of 0,0 of 0
L,Josh Quinlan,0,39 of 90,43%,39 of 90,0 of 1,0%,0,0,0:00,22 of 68,14 of 18,3 of 4,39 of 90,0 of 0,0 of 0
W,Danny Barlow,1,95 of 185,51%,96 of 186,0 of 0,---,0,0,0:13,77 of 161,13 of 18,5 of 6,88 of 175,1 of 2,6 of 8
